alphaname,chamber,party,numericscore,potentialscore,bracket,lettergrade,counties
"Albritton, Ben",Senate,R,-12,18,3,D,Charlotte|DeSoto|Glades|Hardee|Highlands|Lee|Okeechobee|Polk
"Grant, Michael",House,R,-3,15,6,C,Charlotte
"Gruters, Joe",Senate,R,7,12,11,A-,Charlotte|Sarasota
"Massullo, Ralph E.",House,R,1,21,7,C+,Citrus|Hernando
"Simpson, Wilton",Senate,R,-22,15,1,F,Citrus|Hernando|Pasco
"Cummings, W. Travis",House,R,-6,18,5,C-,Clay
"Donalds, Byron",House,R,-9,21,4,D+,Collier|Hendry
"Passidomo, Kathleen",Senate,R,-15,15,1,F,Collier|Hendry|Lee
"Rommel, Bob",House,R,-6,24,5,C-,Collier
"Bell, Melony M.",House,R,0,18,7,C+,DeSoto|Hardee|Polk
"Bean, Aaron",Senate,R,-22,18,1,F,Duval|Nassau
"Byrd, Cord",House,R,-6,21,5,C-,Duval|Nassau
"Daniels, Kimberly",House,D,-6,30,6,C,Duval
"Davis, Tracie",House,D,-3,15,6,C,Duval
"Duggan, Wyman",House,R,-6,18,5,C-,Duval
"Fischer, Jason",House,R,0,30,7,C+,Duval
"Gibson, Audrey",Senate,D,-15,15,1,F,Duval
"Yarborough, Clay",House,R,-6,30,6,C,Duval
"Andrade, Robert Alexander",House,R,0,30,7,C+,Escambia|Santa Rosa
"Broxson, Doug",Senate,R,-9,9,1,F,Escambia|Okaloosa|Santa Rosa
"Hill, Mike",House,R,0,24,7,C+,Escambia
"Hutson, Travis",Senate,R,-9,18,4,D+,Flagler|St. Johns|Volusia
"Renner, Paul",House,R,-12,24,4,D+,Flagler|St. Johns|Volusia
"Alexander, Ramon",House,D,-9,21,4,D+,Gadsden|Leon
"Pigman, Cary",House,R,-6,42,6,C,Glades|Highlands|Okeechobee|St. Lucie
"Ingoglia, Blaise",House,R,-9,27,5,C-,Hernando
"Beltran, Mike",House,R,-6,24,5,C-,Hillsborough
"Cruz, Janet",Senate,D,-6,6,1,F,Hillsborough
"Driskell, Fentrice",House,D,-12,24,4,D+,Hillsborough
"Galvano, Bill",Senate,R,-6,6,1,F,Hillsborough|Manatee
"Grant, James ""J.W.""",House,R,-15,36,4,D+,Hillsborough|Pinellas
"Hart, Dianne ""Ms Dee""",House,D,3,27,8,B-,Hillsborough
"Hattersley, Adam Roger",House,D,0,30,7,C+,Hillsborough
"Lee, Tom",Senate,R,-10,18,3,D,Hillsborough|Pasco|Polk
"McClure, Lawrence",House,R,-3,27,6,C,Hillsborough
"Newton, Wengay",House,D,-3,27,6,C,Hillsborough|Manatee|Pinellas|Sarasota
"Rouson, Darryl Ervin",Senate,D,-9,9,1,F,Hillsborough|Pinellas
"Toledo, Jackie",House,R,0,18,7,C+,Hillsborough
"Valdes, Susan L.",House,D,0,24,7,C+,Hillsborough
"Grall, Erin",House,R,-2,39,7,C+,Indian River|St. Lucie
"Baxley, Dennis",Senate,R,-13,6,1,F,Lake|Marion|Sumter
"Hage, Brett Thomas",House,R,0,18,7,C+,Lake|Marion|Sumter
"Sabatini, Anthony",House,R,-3,21,6,C,Lake
"Stargel, Kelli",Senate,R,-15,15,1,F,Lake|Polk
"Sullivan, Jennifer Mae",House,R,-6,18,5,C-,Lake|Orange
"Benacquisto, Lizbeth",Senate,R,-15,15,1,F,Lee
"Eagle, Dane",House,R,-9,21,4,D+,Lee
"Fitzenhagen, Heather",House,R,-9,27,5,C-,Lee
"Roach, Spencer",House,R,-6,18,5,C-,Lee
"Rodrigues, Ray Wesley",House,R,4,21,8,B-,Lee
"Ausley, Loranne",House,D,-3,15,6,C,Leon
"Stone, Charlie",House,R,0,24,7,C+,Levy|Marion
"Gregory, Tommy",House,R,-6,24,5,C-,Manatee|Sarasota
"Robinson, Jr., William Cloud",House,R,-3,21,6,C,Manatee|Sarasota
"McClain, Stan",House,R,-6,33,6,C,Marion
"Harrell, Gayle",Senate,R,-6,6,1,F,Martin|Palm Beach|St. Lucie
"Magar, MaryLynn",House,R,0,18,7,C+,Martin|Palm Beach
"Overdorf, Tobin Rogers",House,R,0,18,7,C+,Martin|St. Lucie
"Aloupis, Jr., Vance Arthur",House,R,-9,33,5,C-,Miami-Dade
"Avila, Bryan",House,R,-6,21,5,C-,Miami-Dade
"Bush III, James",House,D,-9,21,4,D+,Miami-Dade
"Diaz, Manny, Jr.",Senate,R,-6,6,1,F,Miami-Dade
"Duran, Nicholas X.",House,D,-6,18,5,C-,Miami-Dade
"Fernandez-Barquin, Juan Alfonso",House,R,-12,24,4,D+,Miami-Dade
"Fernández, Javier E.",House,D,-9,30,5,C-,Miami-Dade
"Flores, Anitere",Senate,R,-18,18,1,F,Miami-Dade|Monroe
"Grieco, Michael",House,D,-6,18,5,C-,Miami-Dade
"Joseph, Dotie",House,D,-3,15,6,C,Miami-Dade
"McGhee, Kionne L.",House,D,-6,18,5,C-,Miami-Dade
"Oliva, Jose R.",House,R,-3,15,6,C,Miami-Dade
"Perez, Daniel",House,R,-9,21,4,D+,Miami-Dade
"Pizzo, Jason W. B.",Senate,D,-9,9,1,F,Miami-Dade
"Raschein, Holly",House,R,-6,30,6,C,Miami-Dade|Monroe
"Rodriguez, Anthony",House,R,-3,27,6,C,Miami-Dade
"Rodriguez, Jose Javier",Senate,D,-5,15,5,C-,Miami-Dade
"Taddeo, Annette",Senate,D,-9,9,1,F,Miami-Dade
"Watson, Barbara",House,D,-6,18,5,C-,Miami-Dade
"Ponder, Mel",House,R,-3,15,6,C,Okaloosa
"Williamson, Jayer",House,R,-3,21,6,C,Okaloosa|Santa Rosa
"Antone, Bruce",House,D,3,21,8,B-,Orange
"Bracy, Randolph",Senate,D,-3,9,5,C-,Orange
"Brown, Kamia L.",House,D,-3,15,6,C,Orange
"Eskamani, Anna V.",House,D,-9,27,5,C-,Orange
"Goff-Marcil, Joy",House,D,-3,15,6,C,Orange|Seminole
"Mercado, Amy",House,D,-9,24,5,C-,Orange
"Smith, Carlos Guillermo",House,D,0,24,7,C+,Orange
"Stewart, Linda",Senate,D,-3,9,5,C-,Orange
"Thompson, Geraldine F.",House,D,-3,18,6,C,Orange
"Torres, Victor M., Jr.",Senate,D,-6,21,5,C-,Orange|Osceola
"Cortes, John",House,D,-3,15,6,C,Osceola
"La Rosa, Mike",House,R,-3,21,6,C,Osceola|Polk
"Tomkow, Josie",House,R,-3,15,6,C,Osceola|Polk
"Berman, Lori",Senate,D,5,6,12,A,Palm Beach
"Caruso, Michael A.",House,R,-6,18,5,C-,Palm Beach
"Casello, Joseph A.",House,D,0,18,7,C+,Palm Beach
"Jacquet, Al",House,D,0,18,7,C+,Palm Beach
"Polsky, Tina Scott",House,D,3,27,8,B-,Palm Beach
"Powell, Bobby",Senate,D,-6,6,1,F,Palm Beach
"Roth, Rick",House,R,-6,27,6,C,Palm Beach
"Silvers, David",House,D,0,18,7,C+,Palm Beach
"Slosberg, Emily",House,D,0,27,7,C+,Palm Beach
"Willhite, Matt",House,D,0,18,7,C+,Palm Beach
"Hooper, Ed",Senate,R,-22,18,1,F,Pasco|Pinellas
"Mariano, Amber",House,R,-6,18,5,C-,Pasco
"Zika, Ardian",House,R,-16,30,4,D+,Pasco
"Brandes, Jeff",Senate,R,-13,21,3,D,Pinellas
"DiCeglie, Nick",House,R,-7,30,5,C-,Pinellas
"Diamond, Ben",House,D,-12,30,4,D+,Pinellas
"Latvala, Chris",House,R,-16,33,4,D+,Pinellas
"Sprowls, Chris",House,R,-6,18,5,C-,Pinellas
"Webb, Jennifer Necole",House,D,-3,21,6,C,Pinellas
"Burton, Colleen",House,R,-3,15,6,C,Polk
"Killebrew, Sam H.",House,R,-9,21,4,D+,Polk
"Buchanan, James",House,R,0,18,7,C+,Sarasota
"Good, Margaret",House,D,-9,39,6,C,Sarasota
"Plakon, Scott",House,R,-6,42,6,C,Seminole
"Simmons, David",Senate,R,-15,15,1,F,Seminole|Volusia
"Smith, David",House,R,-3,15,6,C,Seminole
"Stevenson, Cyndi",House,R,-3,21,6,C,St. Johns
"Hogan Johnson, Delores D.",House,D,0,18,7,C+,St. Lucie
"Fetterhoff, Elizabeth Anne",House,R,-6,18,5,C-,Volusia
"Leek, Thomas J.",House,R,-13,18,2,D-,Volusia
"Santiago, David",House,R,-3,21,6,C,Volusia
